timestamp,x_m,y_m,z_m,roll_rad,pitch_rad,yaw_rad,j1_rad,j2_rad,j3_rad,j4_rad,j5_rad,j6_rad,temp_m1_C,temp_m2_C,temp_m3_C,temp_m4_C,temp_m5_C,temp_m6_C,temp_m7_C,temp_m8_C,rpi_temp_C,cpu_percent,mem_total_B,mem_used_B,mem_free_B,load1,load5,load15,disk_total_B,disk_used_B
2026-04-27 15:22:25.783291+02:00,-0.0018435196380702,0.1757076999151957,0.2210215788206532,-2.6496335791505676,1.3771764936232114,-1.494175642412978,1.5866411136147351,0.2403532270616169,-0.7188722258002581,-0.0121791927132921,-1.2855685538379604,0.4357431973493151,50.0,51.0,51.0,41.0,42.0,25.0,29.0,27.0,53.0,,,,,,,,,
2026-04-27 15:22:25.834390+02:00,-0.0018435196380702,0.1757076999151957,0.2210215788206532,-2.6496335791505676,1.3771764936232114,-1.494175642412978,1.5866411136147351,0.2403532270616169,-0.7188722258002581,-0.0121791927132921,-1.2855685538379604,0.4357431973493151,50.0,51.0,51.0,41.0,42.0,25.0,29.0,27.0,53.0,,,,,,,,,
2026-04-27 15:22:25.888052+02:00,-0.0018435196380702,0.1757076999151957,0.2210215788206532,-2.6496335791505676,1.3771764936232114,-1.494175642412978,1.5866411136147351,0.2403532270616169,-0.7188722258002581,-0.0121791927132921,-1.2855685538379604,0.4357431973493151,50.0,51.0,51.0,41.0,42.0,25.0,29.0,27.0,53.0,,,,,,,,,
2026-04-27 15:22:25.941184+02:00,-0.0018435196380702,0.1757076999151957,0.2210215788206532,-2.6496335791505676,1.3771764936232114,-1.494175642412978,1.5866411136147351,0.2403532270616169,-0.7188722258002581,-0.0121791927132921,-1.2855685538379604,0.4357431973493151,50.0,51.0,51.0,41.0,42.0,25.0,29.0,27.0,53.0,,,,,,,,,
2026-04-27 15:22:25.994770+02:00,-0.0018435196380702,0.1757076999151957,0.2210215788206532,-2.6496335791505676,1.3771764936232114,-1.494175642412978,1.5866411136147351,0.2403532270616169,-0.7188722258002581,-0.0121791927132921,-1.2855685538379604,0.4357431973493151,50.0,51.0,51.0,41.0,42.0,25.0,29.0,27.0,53.0,,,,,,,,,
2026-04-27 15:22:26.046661+02:00,-0.0018435196380702,0.1757076999151957,0.2210215788206532,-2.6496335791505676,1.3771764936232114,-1.494175642412978,1.5866411136147351,0.2403532270616169,-0.7188722258002581,-0.0121791927132921,-1.2855685538379604,0.4357431973493151,50.0,51.0,51.0,41.0,42.0,25.0,29.0,27.0,53.0,,,,,,,,,
2026-04-27 15:22:26.099340+02:00,-0.0018435196380702,0.1757076999151957,0.2210215788206532,-2.6496335791505676,1.3771764936232114,-1.494175642412978,1.5866411136147351,0.2403532270616169,-0.7188722258002581,-0.0121791927132921,-1.2855685538379604,0.4357431973493151,50.0,51.0,51.0,41.0,42.0,25.0,29.0,27.0,53.0,,,,,,,,,
2026-04-27 15:22:26.149379+02:00,-0.0018435196380702,0.1757076999151957,0.2210215788206532,-2.6496335791505676,1.3771764936232114,-1.494175642412978,1.5866411136147351,0.2403532270616169,-0.7188722258002581,-0.0121791927132921,-1.2855685538379604,0.4357431973493151,50.0,51.0,51.0,41.0,42.0,25.0,29.0,27.0,53.0,,,,,,,,,
2026-04-27 15:22:26.199880+02:00,-0.0018435196380702,0.1757076999151957,0.2210215788206532,-2.6496335791505676,1.3771764936232114,-1.494175642412978,1.5866411136147351,0.2403532270616169,-0.7188722258002581,-0.0121791927132921,-1.2855685538379604,0.4357431973493151,50.0,51.0,51.0,41.0,42.0,25.0,29.0,27.0,53.0,,,,,,,,,
2026-04-27 15:22:26.250452+02:00,-0.0018435196380702,0.1757076999151957,0.2210215788206532,-2.6496335791505676,1.3771764936232114,-1.494175642412978,1.5866411136147351,0.2403532270616169,-0.7188722258002581,-0.0121791927132921,-1.2855685538379604,0.4357431973493151,50.0,51.0,51.0,41.0,42.0,25.0,29.0,27.0,53.0,,,,,,,,,
2026-04-27 15:22:26.300561+02:00,-0.0018435196380702,0.1757076999151957,0.2210215788206532,-2.6496335791505676,1.3771764936232114,-1.494175642412978,1.5866411136147351,0.2403532270616169,-0.7188722258002581,-0.0121791927132921,-1.2855685538379604,0.4357431973493151,50.0,51.0,51.0,41.0,42.0,25.0,29.0,27.0,53.0,,,,,,,,,
2026-04-27 15:22:26.353479+02:00,-0.0018435196380702,0.1757076999151957,0.2210215788206532,-2.6496335791505676,1.3771764936232114,-1.494175642412978,1.5866411136147351,0.2403532270616169,-0.7188722258002581,-0.0121791927132921,-1.2855685538379604,0.4357431973493151,50.0,51.0,51.0,41.0,42.0,25.0,29.0,27.0,53.0,,,,,,,,,
2026-04-27 15:22:26.404292+02:00,-0.0018435196380702,0.1757076999151957,0.2210215788206532,-2.6496335791505676,1.3771764936232114,-1.494175642412978,1.5866411136147351,0.2403532270616169,-0.7188722258002581,-0.0121791927132921,-1.2855685538379604,0.4357431973493151,50.0,51.0,51.0,41.0,42.0,25.0,29.0,27.0,53.0,98.51,3975442432.0,1538822144.0,1526075392.0,8.69,8.44,8.93,25297891328.0,9721151488.0
2026-04-27 15:22:26.458374+02:00,-0.0018435196380702,0.1757076999151957,0.2210215788206532,-2.6496335791505676,1.3771764936232114,-1.494175642412978,1.5866411136147351,0.2403532270616169,-0.7188722258002581,-0.0121791927132921,-1.2855685538379604,0.4357431973493151,50.0,51.0,51.0,41.0,42.0,25.0,29.0,27.0,53.0,98.51,3975442432.0,1538822144.0,1526075392.0,8.69,8.44,8.93,25297891328.0,9721151488.0
